,,, Experiment number: ,Unnamed: 1,#1767,Unnamed: 3
,,, Experiment date: ,,February-2-2018,
,,, Animal Strain: ,,,
,,, Animal Birthdate: ,,February-2-2018,
,,, Color of Animal: ,,Dark,
,,, Size of Animal: ,,Regular,
,,,Analysis Length:,,"23:51'38""",
,,,,,,
,,,Distance Traveled,=,257.51181,(meters)
,,,,,,
,,,,,,
 From Time ,  To Time  , Length(seconds) , Behavior ,Comment,,
"13'02""","13'03""",0.60,Walk Right,,,
"13'03""","13'04""",0.24,Come Down From Partially Reared,,,
"13'04""","13'04""",0.72,Walk Right,,,
"13'04""","13'05""",0.24,Walk Slowly,,,
"13'05""","13'05""",0.24,Rear up Partially,,,
"13'05""","13'06""",0.24,Come Down From Partially Reared,,,
"13'06""","13'06""",0.24,Walk Slowly,,,
"13'07""","13'07""",0.40,Walk Left,,,
"13'09""","13'09""",0.40,Walk Slowly,,,
"13'09""","13'09""",0.32,Dig,,,
"13'10""","13'10""",0.08,Forage,,,
"13'10""","13'10""",0.40,Dig,,,
"13'10""","13'11""",0.76,Eat Zone1,,,
"13'11""","13'11""",0.24,Remain Partially Reared,,,
"13'13""","13'13""",0.20,Forage,,,
"13'15""","13'15""",0.36,Walk Right,,,
"13'15""","13'16""",0.48,Walk Slowly,,,
"13'16""","13'16""",0.60,Walk Right,,,
"13'16""","13'17""",0.32,Forage,,,
"13'17""","13'17""",0.16,Dig,,,
"13'17""","13'17""",0.28,Forage,,,
"13'17""","13'17""",0.16,Dig,,,
"13'17""","13'18""",0.76,Eat Zone1,,,
"13'18""","13'18""",0.24,Come Down,,,
"13'18""","13'19""",0.44,Forage,,,
"13'20""","13'21""",0.36,Rear up Partially,,,
"13'21""","13'21""",0.24,Come Down From Partially Reared,,,
"13'21""","13'21""",0.24,Walk Slowly,,,
"13'21""","13'22""",0.24,Rear up Partially,,,
"13'22""","13'22""",0.24,Come Down From Partially Reared,,,
"13'22""","13'22""",0.24,Walk Right,,,
"13'22""","13'22""",0.24,Rear up Partially,,,
"13'22""","13'23""",0.24,Remain Partially Reared,,,
"13'23""","13'23""",0.24,Come Down From Partially Reared,,,
"13'25""","13'25""",0.24,Walk Right,,,
"13'29""","13'29""",0.40,Forage,,,
"13'29""","13'30""",0.24,Forage,,,
"13'31""","13'31""",0.08,Forage,,,
"13'31""","13'31""",0.20,Dig,,,
"13'31""","13'31""",0.12,Forage,,,
"13'31""","13'31""",0.16,Dig,,,
"13'32""","13'32""",0.64,Forage,,,
"13'32""","13'33""",0.28,Walk Left,,,
"13'34""","13'34""",0.24,Rear up Partially,,,
"13'34""","13'35""",0.24,Sniff,,,
"13'35""","13'35""",0.24,Rear up Full From Partial,,,
"13'35""","13'36""",1.20,Sniff,,,
"13'36""","13'36""",0.24,Come Down,,,
"13'36""","13'37""",0.24,Walk Slowly,,,
"13'37""","13'45""",8.00,Groom,,PLR<-HdW,
"13'47""","13'47""",0.24,Walk Left,,,
"13'47""","13'47""",0.24,Come Down From Partially Reared,,,
"13'48""","13'51""",3.36,Groom,,PLF,
"13'51""","13'51""",0.40,Forage,,,
"13'51""","13'52""",0.24,Walk Right,,,
"13'52""","13'52""",0.32,Forage,,,
"13'52""","13'52""",0.12,Forage,,,
"13'52""","13'52""",0.20,Dig,,,
"13'53""","13'58""",5.20,Groom,,B_L,
"13'58""","13'59""",0.76,Remain Partially Reared,,,
"13'59""","13'59""",0.24,Come Down From Partially Reared,,,
"14'00""","14'00""",0.68,Remain Partially Reared,,,
"14'00""","14'30""",29.44,Sleep,,,
"14'30""","14'31""",0.72,Twitch,,,
"14'31""","14'49""",18.48,Sleep,,,
"14'49""","14'53""",3.68,Awaken,,,
"14'53""","14'53""",0.24,Come Down From Partially Reared,,,
"14'53""","14'54""",0.24,Rear up Partially,,,
"14'54""","14'54""",0.72,Remain Partially Reared,,,
"14'54""","14'55""",0.24,Come Down From Partially Reared,,,
"14'55""","14'55""",0.36,Rear up Partially,,,
"14'55""","14'57""",1.92,Sniff,,,
"14'57""","14'59""",1.80,Remain Partially Reared,,,
"14'59""","14'59""",0.24,Come Down From Partially Reared,,,
"15'01""","15'01""",0.24,Rear up Partially,,,
"15'01""","15'03""",1.16,Sniff,,,
"15'03""","15'06""",3.16,Groom,,B_L,
"15'06""","15'09""",3.68,Groom,,B_L,
"15'09""","15'10""",0.28,Sniff,,,
"15'10""","15'10""",0.24,Come Down To Partially Reared,,,
"15'10""","15'13""",3.12,Sniff,,,
"15'13""","15'13""",0.24,Rear up Full From Partial,,,
"15'13""","15'14""",0.24,Sniff,,,
"15'14""","15'14""",0.48,Drink Spout1,,,
"15'14""","15'15""",0.96,Sniff,,,
"15'15""","15'16""",0.48,Drink Spout1,,,
"15'16""","15'16""",0.48,Sniff,,,
"15'16""","15'16""",0.48,Drink Spout1,,,
"15'16""","15'17""",0.24,Sniff,,,
"15'17""","15'17""",0.24,Rear up Full From Partial,,,
"15'17""","15'17""",0.24,Sniff,,,
"15'17""","15'18""",0.48,Drink Spout1,,,
"15'18""","15'20""",1.92,Sniff,,,
"15'20""","15'20""",0.24,Come Down To Partially Reared,,,
"15'20""","15'21""",0.72,Sniff,,,
"15'21""","15'21""",0.24,Come Down From Partially Reared,,,
"15'21""","15'21""",0.24,Sniff,,,
"15'21""","15'21""",0.24,Remain Partially Reared,,,
"15'21""","15'22""",0.24,Come Down From Partially Reared,,,
"15'22""","15'22""",0.48,Drink Spout1,,,
"15'22""","15'22""",0.24,Come Down From Partially Reared,,,
"15'22""","15'23""",0.48,Sniff,,,
"15'23""","15'23""",0.24,Rear up Partially,,,
"15'23""","15'24""",0.96,Drink Spout1,,,
"15'24""","15'24""",0.24,Sniff,,,
"15'24""","15'24""",0.24,Remain RearUp,,,
"15'24""","15'25""",0.48,"ComeDown(CDtoPR, CDfromPR)",,,
"15'26""","15'29""",2.60,Groom,,B_L,
"15'29""","15'29""",0.28,Sniff,,,
"15'29""","15'29""",0.24,Come Down From Partially Reared,,,
"15'29""","15'30""",0.24,Rear up Partially,,,
"15'30""","15'30""",0.24,Sniff,,,
"15'30""","15'30""",0.48,"RearUp(RUfromPR, RemainRU)",,,
"15'30""","15'31""",0.40,Come Down To Partially Reared,,,
"15'31""","15'31""",0.44,Rear up Full From Partial,,,
"15'31""","15'32""",0.48,Sniff,,,
"15'32""","15'32""",0.24,Come Down To Partially Reared,,,
"15'32""","15'32""",0.24,Walk Slowly,,,
"15'32""","15'32""",0.24,Come Down From Partially Reared,,,
"15'32""","15'33""",0.24,Remain Partially Reared,,,
"15'33""","15'33""",0.24,Come Down From Partially Reared,,,
"15'33""","15'34""",0.96,Sniff,,,
"15'34""","15'34""",0.24,Come Down From Partially Reared,,,
"15'34""","15'34""",0.24,Rear up Partially,,,
"15'34""","15'35""",0.96,Sniff,,,
"15'35""","15'36""",0.48,Drink Spout1,,,
"15'36""","15'37""",1.68,Sniff,,,
"15'37""","15'38""",0.24,Come Down From Partially Reared,,,
"15'38""","15'38""",0.24,Rear up Partially,,,
"15'38""","15'41""",2.88,Sniff,,,
"15'41""","15'41""",0.24,Rear up Full From Partial,,,
"15'41""","15'41""",0.48,Sniff,,,
"15'41""","15'42""",0.24,Remain RearUp,,,
"15'42""","15'42""",0.24,Come Down To Partially Reared,,,
"15'42""","15'42""",0.40,Remain Partially Reared,,,
"15'43""","15'43""",0.24,Rear up Partially,,,
"15'43""","15'44""",0.72,Sniff,,,
"15'44""","15'44""",0.24,Come Down From Partially Reared,,,
"15'44""","15'44""",0.16,Dig,,,
"15'44""","15'45""",0.20,Forage,,,
"15'45""","15'49""",3.96,Groom,,PLF,
"15'49""","15'49""",0.36,Forage,,,
"15'49""","15'50""",0.28,Dig,,,
"15'51""","15'51""",0.12,Forage,,,
"15'51""","15'52""",0.28,Dig,,,
"15'52""","15'57""",4.88,Groom,,PLF<-HdW,
"15'59""","15'59""",0.24,Rear up Partially,,face-front/back,
"15'59""","15'59""",0.24,Remain Partially Reared,,,
"15'59""","15'59""",0.20,Dig,,,
"16'00""","16'03""",2.40,Groom,,B_L,
"16'03""","16'03""",0.52,Come Down From Partially Reared,,,
"16'04""","16'04""",0.24,Rear up Partially,,,
"16'04""","16'04""",0.24,Come Down From Partially Reared,,,
"16'05""","16'10""",4.48,Groom,,PLF,
"16'13""","16'13""",0.24,Walk Slowly,,,
"16'14""","16'14""",0.24,Walk Left,,,
"16'14""","16'15""",0.24,Walk Slowly,,,
"16'15""","16'15""",0.20,Forage,,,
"16'15""","16'15""",0.28,Rear up Partially,,,
"16'15""","16'16""",0.48,Sniff,,,
"16'16""","16'16""",0.24,Come Down From Partially Reared,,,
"16'17""","16'17""",0.24,Rear up Partially,,,
"16'17""","16'17""",0.24,Come Down From Partially Reared,,,
"16'17""","16'18""",0.72,Walk Right,,,
"16'18""","16'18""",0.24,Rear up Partially,,,
"16'18""","16'18""",0.24,Come Down From Partially Reared,,,
"16'22""","16'22""",0.32,Forage,,,
"16'22""","16'23""",0.28,Walk Right,,,
"16'23""","16'23""",0.24,Rear up Partially,,,
"16'23""","16'24""",0.96,Sniff,,,
"16'24""","16'24""",0.20,Come Down From Partially Reared,,,
"16'24""","16'24""",0.28,Dig,,,
"16'24""","16'25""",0.32,Forage,,,
"16'25""","16'25""",0.52,Remain Partially Reared,,,
"16'25""","16'25""",0.16,Come Down From Partially Reared,,,
"16'25""","16'30""",4.48,Groom,,HdW,
"16'30""","16'30""",0.24,Dig,,,
"16'32""","16'33""",0.40,Forage,,,
"16'33""","16'33""",0.28,Come Down From Partially Reared,,,
"16'33""","16'33""",0.08,Rear up Partially,,,
"16'33""","16'38""",5.00,Groom,,B_L<-HdW,
"16'38""","16'39""",0.68,Remain Partially Reared,,,
"16'39""","16'39""",0.68,Sniff,,,
"16'39""","16'40""",0.40,Come Down From Partially Reared,,,
"16'40""","16'40""",0.16,Forage,,,
"16'40""","16'41""",0.28,Remain Partially Reared,,,
"16'41""","16'41""",0.24,Rear up Full From Partial,,,
"16'41""","16'41""",0.48,"ComeDown(CDtoPR, CDfromPR)",,,
"16'42""","16'42""",0.16,Forage,,,
"16'42""","16'43""",1.00,Walk Left,,,
"16'43""","16'43""",0.24,Rear up Partially,,,
"16'43""","16'44""",0.48,Remain Partially Reared,,,
"16'44""","16'44""",0.24,Come Down,,,
"16'45""","16'45""",0.44,Rear up Partially,,,
"16'45""","16'46""",0.24,Come Down From Partially Reared,,,
"16'46""","16'46""",0.60,Rear up Partially,,,
"16'46""","16'56""",9.84,Eat Zone1,,,
"16'56""","16'57""",0.96,Chew,,,
"16'58""","16'58""",0.48,Remain RearUp,,,
"16'58""","17'02""",3.96,"HangCuddled(HangCudl, RemainHC)",,,
"17'02""","17'03""",1.08,Walk Right,,,
"17'04""","17'05""",0.96,Eat Zone1,,,
"17'05""","17'05""",0.24,Remain Partially Reared,,,
"17'05""","17'06""",0.20,Come Down From Partially Reared,,,
"17'06""","17'06""",0.52,Forage,,,
"17'06""","17'06""",0.28,Walk Right,,,
"17'06""","17'07""",0.44,Jump,,,
"17'07""","17'07""",0.52,Sniff,,,
"17'07""","17'08""",0.24,Hang Vertically From Rear Up,,,
"17'08""","17'08""",0.24,Stretch Body,,,
"17'08""","17'09""",1.20,"HangVertically(RemainHV, HVfromRU, HVfromHC)",,,
"17'09""","17'12""",3.12,"HangCuddled(HangCudl, RemainHC)",,,
"17'12""","17'12""",0.24,HangVertically From HangCuddled,,,
"17'12""","17'13""",0.48,"ComeDown(CDtoPR, CDfromPR)",,,
"17'13""","17'13""",0.60,"RearUp(RUtoPR, RUfromPR)",,,
"17'13""","17'14""",0.96,Sniff,,,
"17'14""","17'15""",0.24,Hang Vertically From Rear Up,,,
"17'15""","17'15""",0.72,"ComeDown(CDtoPR, CDfromPR)",,,
"17'15""","17'16""",0.24,Walk Slowly,,,
"17'16""","17'16""",0.24,Rear Up,,,
"17'16""","17'17""",0.96,Sniff,,,
"17'17""","17'17""",0.24,Come Down To Partially Reared,,,
"17'17""","17'17""",0.48,Sniff,,,
"17'17""","17'19""",1.44,"RearUp(RUfromPR, RemainRU)",,,
"17'19""","17'19""",0.24,Come Down To Partially Reared,,,
"17'19""","17'19""",0.24,Remain Partially Reared,,,
"17'20""","17'25""",4.96,"HangCuddled(HangCudl, RemainHC)",,,
"17'25""","17'25""",0.44,Come Down From Partially Reared,,,
"17'25""","17'26""",0.24,Rear up Partially,,,
"17'26""","17'26""",0.48,Drink Spout1,,,
"17'26""","17'27""",0.72,Sniff,,face-right,
"17'27""","17'27""",0.24,Come Down To Partially Reared,,,
"17'27""","17'27""",0.24,Sniff,,,
"17'27""","17'27""",0.24,Remain Partially Reared,,,
"17'27""","17'28""",0.24,Come Down From Partially Reared,,,
"17'28""","17'28""",0.24,Rear up Partially,,,
"17'28""","17'29""",0.72,Sniff,,,
"17'29""","17'29""",0.24,Come Down From Partially Reared,,,
"17'29""","17'30""",0.24,Forage,,,
"17'30""","17'30""",0.52,Walk Left,,,
"17'30""","17'30""",0.24,Rear up Partially,,,
"17'30""","17'31""",0.72,Eat Zone1,,,
"17'31""","17'31""",0.24,Come Down,,,
"17'31""","17'32""",0.36,Walk Left,,,
"17'32""","17'32""",0.36,Rear up Full From Partial,,,
"17'32""","17'33""",0.96,Sniff,,,
"17'33""","17'33""",0.24,Hang Vertically From Rear Up,,,
"17'33""","17'35""",1.32,"HangCuddled(HangCudl, RemainHC)",,,
"17'35""","17'35""",0.12,Rear Up,,,
"17'35""","17'35""",0.72,Eat Zone1,,,
"17'35""","17'37""",1.20,"HangVertically(HVfromRU, RemainHV)",,,
"17'37""","17'37""",0.24,Land Vertically,,,
"17'37""","17'38""",0.24,Hang Vertically From Rear Up,,,
"17'38""","17'38""",0.72,"HangCuddled(HangCudl, RemainHC)",,,
"17'38""","17'39""",0.72,"HangVertically(HVfromHC, RemainHV, HVfromHC)",,,
"17'39""","17'40""",0.52,Land Vertically,,,
"17'40""","17'40""",0.44,Come Down,,,
"17'40""","17'40""",0.24,Walk Right,,,
"17'40""","17'41""",0.36,Forage,,,
"17'41""","17'41""",0.24,Rear up Partially,,,
"17'41""","17'42""",0.72,Sniff,,,
"17'42""","17'42""",0.36,Remain Partially Reared,,,
"17'42""","17'42""",0.24,Come Down From Partially Reared,,,
"17'42""","17'43""",0.36,Rear up Partially,,,
"17'43""","17'43""",0.24,Remain Partially Reared,,,
"17'43""","17'43""",0.24,Come Down From Partially Reared,,,
"17'44""","17'44""",0.24,Walk Right,,,
"17'44""","17'45""",0.96,Drink Spout1,,,
"17'45""","17'45""",0.32,Dig,,,
"17'45""","17'46""",0.28,Forage,,,
"17'46""","17'46""",0.32,Dig,,,
"17'46""","17'46""",0.28,Rear up Partially,,,
"17'46""","17'47""",0.48,Remain Partially Reared,,,
"17'47""","17'47""",0.24,Come Down From Partially Reared,,,
"17'47""","17'48""",0.36,Rear up Partially,,,
"17'48""","17'48""",0.24,Come Down From Partially Reared,,,
"17'48""","17'48""",0.24,Rear up Partially,,,
"17'48""","17'49""",0.48,Remain Hang Vertically,,,
"17'49""","17'50""",0.96,"HangCuddled(HangCudl, RemainHC)",,,
"17'50""","17'51""",1.20,"HangVertically(HVfromHC, RemainHV, HVfromHC)",,,
"17'51""","17'52""",0.72,"HangCuddled(HangCudl, RemainHC)",,,
"17'52""","17'52""",0.48,"HangVertically(HVfromHC, RemainHV)",,,
"17'52""","17'54""",1.92,"HangCuddled(HangCudl, RemainHC)",,,
"17'54""","17'54""",0.48,"HangVertically(HVfromHC, RemainHV)",,,
"17'54""","17'55""",0.24,Come Down To Partially Reared,,,
"17'55""","17'55""",0.72,Sniff,,,
"17'55""","17'56""",0.24,Rear up Full From Partial,,,
"17'56""","17'57""",1.44,Sniff,,,
"17'57""","17'57""",0.24,Come Down To Partially Reared,,,
"17'57""","17'58""",0.48,Sniff,,,
"17'58""","17'58""",0.24,Walk Left,,,
"17'58""","17'58""",0.24,Come Down From Partially Reared,,,
"17'58""","17'59""",0.48,Walk Left,,,
"17'59""","17'59""",0.08,Rear up Partially,,,
"17'59""","17'59""",0.60,Jump,,,
"17'59""","18'00""",0.28,Come Down From Partially Reared,,,
"18'00""","18'00""",0.24,Rear up Partially,,,
"18'00""","18'00""",0.24,Come Down From Partially Reared,,,
"18'00""","18'08""",7.68,Eat Zone1,,,
"18'08""","18'11""",2.64,"HangCuddled(HangCudl, RemainHC)",,,
"18'11""","18'11""",0.24,Walk Right,,,
"18'11""","18'11""",0.48,Walk Right,,,
"18'11""","18'12""",0.28,Forage,,,
"18'13""","18'13""",0.24,Rear up Partially,,,
"18'13""","18'14""",0.28,Remain Partially Reared,,,
"18'14""","18'18""",4.64,Groom,,HdW,
"18'19""","18'19""",0.08,Forage,,,
"18'19""","18'19""",0.24,Dig,,,
"18'19""","18'19""",0.32,Dig,,,
"18'20""","18'20""",0.52,Dig,,,
"18'20""","18'20""",0.28,Rear up Full From Partial,,,
"18'20""","18'21""",0.72,Sniff,,,
"18'21""","18'21""",0.24,Come Down,,,
"18'21""","18'22""",0.48,Walk Left,,,
"18'22""","18'22""",0.60,Walk Slowly,,,
"18'23""","18'24""",1.12,Walk Left,,,
"18'28""","18'36""",7.64,Remain Partially Reared,,,
"18'36""","18'36""",0.24,Come Down From Partially Reared,,,
"18'36""","18'37""",0.24,Rear up Partially,,,
"18'37""","18'39""",2.64,Sniff,,,
"18'39""","18'39""",0.24,Rear up Full From Partial,,,
"18'39""","18'40""",0.24,Sniff,,,
"18'40""","18'40""",0.24,Remain RearUp,,,
"18'40""","18'40""",0.48,"ComeDown(CDtoPR, CDfromPR)",,,
"18'41""","18'42""",0.24,Rear up Partially,,,
"18'42""","18'42""",0.24,Remain Partially Reared,,,
"18'42""","18'43""",0.96,Eat Zone1,,,
"18'43""","18'43""",0.48,"ComeDown(CDtoPR, CDfromPR)",,,
"18'43""","18'45""",1.20,Walk Right,,,
"18'46""","18'46""",0.32,Dig,,,
"18'46""","18'47""",0.52,"RearUp(RUtoPR, RUfromPR)",,,
"18'47""","18'47""",0.24,Sniff,,,
"18'47""","18'47""",0.24,Come Down,,,
"18'48""","18'52""",3.32,Groom,,PLR,
"18'54""","18'54""",0.24,Walk Left,,,
"18'54""","18'55""",0.24,Rear up Partially,,,
"18'55""","18'55""",0.24,Remain Partially Reared,,,
"18'55""","18'55""",0.48,Drink Spout1,,,
"18'55""","18'56""",0.72,Sniff,,,
"18'56""","18'56""",0.12,Remain RearUp,,,
"18'56""","18'57""",0.48,Jump,,,
"18'57""","18'58""",1.00,Sniff,,,
"18'58""","18'58""",0.24,Hang Cuddled,,,
"18'58""","18'58""",0.24,Walk Right,,,
"18'58""","19'00""",2.16,Remain Hang Cuddled,,,
"19'00""","19'00""",0.24,HangVertically From HangCuddled,,,
"19'00""","19'01""",0.48,"ComeDown(CDtoPR, CDfromPR)",,,
"19'01""","19'01""",0.24,Rear up Partially,,,
"19'01""","19'02""",0.96,Sniff,,,
"19'02""","19'02""",0.24,Come Down From Partially Reared,,,
"19'03""","19'03""",0.24,Rear up Partially,,,
"19'03""","19'04""",0.24,Come Down From Partially Reared,,,
"19'04""","19'04""",0.24,Rear Up,,,
"19'04""","19'05""",0.48,Drink Spout1,,,
"19'05""","19'05""",0.24,Come Down To Partially Reared,,,
"19'05""","19'05""",0.24,Rear up Full From Partial,,,
"19'05""","19'07""",1.44,Sniff,,,
"19'07""","19'08""",0.96,Drink Spout1,,,
"19'08""","19'08""",0.72,Sniff,,,
"19'08""","19'09""",0.24,Come Down To Partially Reared,,,
"19'09""","19'10""",0.96,Sniff,,,
"19'10""","19'11""",0.96,Drink Spout1,,,
"19'11""","19'12""",1.20,Sniff,,,
"19'12""","19'12""",0.24,Rear up Full From Partial,,,
"19'12""","19'12""",0.24,Come Down To Partially Reared,,,
"19'12""","19'12""",0.24,Rear up Full From Partial,,,
"19'12""","19'15""",2.16,Sniff,,,
"19'15""","19'15""",0.24,Come Down To Partially Reared,,,
"19'15""","19'16""",0.96,Sniff,,,
"19'16""","19'16""",0.60,Remain Partially Reared,,,
"19'16""","19'17""",0.24,Come Down From Partially Reared,,,
"19'17""","19'17""",0.24,Rear up Partially,,,
"19'17""","19'17""",0.24,Come Down From Partially Reared,,,
"19'19""","19'19""",0.48,Walk Slowly,,,
"19'19""","19'20""",0.24,Walk Left,,,
"19'20""","19'20""",0.24,Rear up Partially,,,
"19'20""","19'21""",0.24,Come Down From Partially Reared,,,
"19'21""","19'22""",1.20,Eat Zone1,,,
"19'22""","19'22""",0.24,Chew,,,
"19'23""","19'28""",4.88,Eat Zone1,,,
"19'28""","19'29""",0.88,Sniff,,,
"19'29""","19'30""",0.56,Jump,,,
"19'30""","19'30""",0.28,Sniff,,,
"19'30""","19'30""",0.24,Remain Partially Reared,,,
"19'30""","19'30""",0.24,Forage,,,
"19'30""","19'31""",0.28,Rear up Partially,,,
"19'31""","19'31""",0.24,Remain Partially Reared,,,
"19'31""","19'31""",0.24,Rear up Full From Partial,,,
"19'31""","19'34""",2.40,Sniff,,,
"19'34""","19'34""",0.48,"ComeDown(CDtoPR, CDfromPR)",,,
"19'34""","19'34""",0.24,Walk Slowly,,,
"19'35""","19'35""",0.24,Rear Up,,,
"19'35""","19'36""",1.20,Sniff,,,
"19'36""","19'38""",1.92,"HangVertically(HVfromRU, RemainHV)",,,
"19'38""","19'41""",3.24,"HangCuddled(HangCudl, RemainHC, HangCudl, RemainHC)",,,
"19'42""","19'42""",0.24,Rear up Partially,,,
"19'43""","19'44""",0.16,Forage,,,
"19'44""","19'44""",0.28,Rear up Partially,,,
"19'44""","19'44""",0.48,Sniff,,,
"19'44""","19'45""",0.24,Rear up Full From Partial,,,
"19'45""","19'45""",0.24,Come Down To Partially Reared,,,
"19'45""","19'45""",0.24,Sniff,,,
"19'45""","19'45""",0.24,Remain Partially Reared,,,
"19'45""","19'46""",0.24,Come Down From Partially Reared,,,
"19'46""","19'46""",0.48,"RearUp(RUtoPR, RUfromPR)",,,
"19'46""","19'46""",0.16,Sniff,,,
"19'46""","19'47""",0.56,Jump,,,
"19'47""","19'47""",0.28,Walk Slowly,,,
"19'47""","19'47""",0.24,Come Down From Partially Reared,,,
"19'47""","19'48""",0.48,Sniff,,,
"19'48""","19'48""",0.24,Rear up Partially,,,
"19'48""","19'49""",1.20,Remain Partially Reared,,,
"19'49""","19'50""",0.72,Sniff,,face-left,
"19'50""","19'51""",0.48,Remain RearUp,,,
"19'51""","19'51""",0.24,Stretch Body,,,
"19'51""","19'53""",2.16,"HangVertically(HVfromRU, RemainHV)",,,
"19'53""","19'54""",1.20,"HangCuddled(HangCudl, RemainHC)",,,
"19'54""","19'55""",0.48,"HangVertically(HVfromHC, RemainHV)",,,
"19'55""","19'57""",1.92,"HangCuddled(HangCudl, RemainHC)",,,
"19'57""","19'57""",0.36,HangVertically From HangCuddled,,,
"19'58""","19'58""",0.24,Rear up Partially,,,
"19'58""","19'59""",0.96,Drink Spout1,,,
"19'59""","19'59""",0.24,Sniff,,,
"19'59""","19'59""",0.24,Come Down From Partially Reared,,,
"19'59""","20'01""",1.36,Walk Left,,,
"20'01""","20'02""",0.36,Rear up Partially,,,
"20'02""","20'02""",0.24,Sniff,,,
"20'02""","20'02""",0.24,Rear up Full From Partial,,,
"20'02""","20'03""",0.48,Sniff,,,
"20'03""","20'03""",0.24,Come Down To Partially Reared,,,
"20'03""","20'04""",0.24,Rear up Full From Partial,,,
"20'04""","20'04""",0.24,Sniff,,,
"20'04""","20'04""",0.24,Remain RearUp,,,
"20'05""","20'06""",0.44,Walk Slowly,,,
"20'06""","20'06""",0.24,Come Down From Partially Reared,,,
"20'06""","20'06""",0.24,Rear up Partially,,,
"20'06""","20'06""",0.24,Come Down From Partially Reared,,,
"20'06""","20'07""",0.96,Remain Partially Reared,,,
"20'07""","20'07""",0.24,Come Down From Partially Reared,,,
"20'11""","20'11""",0.20,Forage,,,
"20'11""","20'12""",0.24,Rear up Partially,,,
"20'12""","20'12""",0.72,Sniff,,,
"20'12""","20'17""",4.52,Groom,,HdW,
"20'17""","20'24""",7.12,Groom,,PLR<-PLF,
"20'24""","20'25""",0.52,Remain Partially Reared,,,
"20'25""","20'25""",0.24,Rear up Full From Partial,,,
"20'25""","20'26""",0.48,Sniff,,,
"20'26""","20'26""",0.24,Come Down,,,
"20'26""","20'26""",0.40,Walk Slowly,,,
"20'28""","20'28""",0.40,Dig,,,
"20'28""","20'28""",0.16,Forage,,,
"20'28""","20'29""",0.28,Walk Slowly,,,
"20'29""","20'33""",3.96,Groom,,PLR,
"20'33""","20'33""",0.24,Rear up Partially,,,
"20'33""","20'34""",0.96,Remain Partially Reared,,,
"20'34""","20'34""",0.24,Come Down From Partially Reared,,,
"20'35""","20'35""",0.12,Forage,,,
"20'35""","20'36""",0.20,Dig,,,
"20'36""","20'36""",0.20,Forage,,,
"20'37""","20'37""",0.24,Rear up Partially,,,
"20'37""","20'38""",0.48,Sniff,,,
"20'38""","20'38""",0.24,Come Down From Partially Reared,,,
"20'43""","20'43""",0.24,Rear up Partially,,,
"20'43""","20'44""",0.24,Come Down From Partially Reared,,,
"20'44""","20'44""",0.48,Walk Left,,,
"20'44""","20'44""",0.24,Rear up Partially,,,
"20'44""","20'44""",0.24,Come Down From Partially Reared,,,
"20'45""","20'46""",0.36,Rear up Partially,,,
"20'46""","20'46""",0.60,Drink Spout1,,,
"20'46""","20'53""",6.36,Groom,,PLF,
"20'53""","20'53""",0.28,Sniff,,,
"20'53""","20'54""",0.48,Drink Spout1,,,
"20'54""","20'55""",1.68,Sniff,,,
"20'55""","20'55""",0.24,Remain Partially Reared,,,
"20'55""","20'56""",0.96,Sniff,,,
"20'56""","21'03""",6.84,Groom,,B_L<-HdW,
"21'03""","21'05""",2.12,Sniff,,,
"21'05""","21'08""",2.80,Groom,,B_L,
"21'08""","21'09""",1.24,Sniff,,,
"21'09""","21'10""",0.40,Come Down From Partially Reared,,,
"21'10""","21'10""",0.24,Rear up Partially,,,
"21'10""","21'11""",0.84,Remain Partially Reared,,,
"21'11""","21'12""",0.24,Come Down From Partially Reared,,,
"21'12""","21'12""",0.24,Rear up Partially,,,
"21'12""","21'12""",0.16,Come Down From Partially Reared,,,
"21'12""","21'12""",0.16,Forage,,,
"21'12""","21'13""",0.76,Walk Left,,,
"21'14""","21'14""",0.24,Walk Slowly,,,
"21'14""","21'15""",0.20,Forage,,,
"21'15""","21'15""",0.20,Forage,,,
"21'16""","21'16""",0.24,Walk Right,,,
"21'16""","21'17""",0.52,Dig,,,
"21'18""","21'18""",0.32,Forage,,,
"21'18""","21'19""",0.24,Dig,,,
"21'19""","21'19""",0.32,Forage,,,
